"financialyear","financialquarter","totalfraudoffenses"
"2012/13",1,"20323"
"2012/13",2,"25754"
"2012/13",3,"27464"
"2012/13",4,"43861"
"2013/14",1,"54377"
"2013/14",2,"54232"
"2013/14",3,"49746"
"2013/14",4,"52866"
"2014/15",1,"52517"
"2014/15",2,"57039"
"2014/15",3,"62238"
"2014/15",4,"58529"
"2015/16",1,"59475"
"2015/16",2,"54204"
"2015/16",3,"51927"
"2015/16",4,"55032"
"2016/17",1,"61375"
"2016/17",2,"62703"
"2016/17",3,"69327"
"2016/17",4,"68538"
"2017/18",1,"66776"
"2017/18",2,"67696"
"2017/18",3,"69746"
"2017/18",4,"72815"
"2018/19",1,"74813"
"2018/19",2,"78175"
"2018/19",3,"76410"
"2018/19",4,"81688"
"2019/20",1,"84746"
"2019/20",2,"89239"
"2019/20",3,"82305"
"2019/20",4,"81960"
"2020/21",1,"87920"
"2020/21",2,"103097"
"2020/21",3,"104779"
"2020/21",4,"132693"
"2021/22",1,"112292"
"2021/22",2,"92073"
"2021/22",3,"92033"
"2021/22",4,"87246"
"2022/23",1,"85038"
"2022/23",2,"81563"
"2022/23",3,"78190"
"2022/23",4,"78312"
"2023/24",1,"79986"
