"forcename","offencedescription","totaltheftoffenses"
"Metropolitan Police","Other theft","1014979"
"Metropolitan Police","Theft from vehicle","697321"
"Metropolitan Police","Theft from the person","488173"
"Metropolitan Police","Shoplifting","464101"
"Metropolitan Police","Theft or unauthorised taking of motor vehicle","296091"
"Metropolitan Police","Burglary Residential","233385"
"Metropolitan Police","Theft or unauthorised taking of a pedal cycle","219367"
"Greater Manchester","Other theft","202582"
"West Midlands","Theft from vehicle","193213"
"West Midlands","Shoplifting","187364"
"West Yorkshire","Other theft","183833"
"Greater Manchester","Theft from vehicle","181238"
"West Yorkshire","Shoplifting","180831"
"Greater Manchester","Shoplifting","177179"
"Thames Valley","Shoplifting","150275"
"Metropolitan Police","Burglary in a dwelling(outcome only)","143917"
"West Yorkshire","Theft from vehicle","141612"
"Thames Valley","Other theft","134727"
"West Midlands","Other theft","131549"
"Kent","Shoplifting","130582"
"Metropolitan Police","Interfering with a motor vehicle","126205"
"Hampshire","Shoplifting","125859"
"Northumbria","Shoplifting","122347"
"Avon and Somerset","Shoplifting","118899"
"Kent","Other theft","117730"
"Thames Valley","Theft from vehicle","115227"
"South Yorkshire","Shoplifting","113735"
"Essex","Shoplifting","107684"
"Avon and Somerset","Other theft","106432"
"Nottinghamshire","Shoplifting","104926"
"South Yorkshire","Other theft","103999"
"Sussex","Other theft","103657"
"Lancashire","Other theft","102336"
"Metropolitan Police","Making off without payment","100949"
"West Midlands","Theft or unauthorised taking of motor vehicle","99788"
"Hampshire","Other theft","99177"
"South Wales","Shoplifting","98716"
"Sussex","Shoplifting","97890"
"Metropolitan Police","Burglary Business and Community","96860"
"Metropolitan Police","Burglary in a building other than a dwelling (outcome only)","96021"
"Essex","Other theft","95927"
"Merseyside","Shoplifting","95450"
"Lancashire","Shoplifting","94253"
"British Transport Police","Other theft","93749"
"Northumbria","Other theft","90050"
"Humberside","Shoplifting","89086"
"Greater Manchester","Burglary Residential","83870"
"Essex","Theft from vehicle","83661"
"Metropolitan Police","Theft in a dwelling other than from an automatic machine or meter","83573"
"West Midlands","Burglary Residential","80069"
"South Yorkshire","Theft from vehicle","79559"
"Hertfordshire","Shoplifting","77207"
"West Mercia","Shoplifting","76588"
"South Wales","Other theft","75790"
"Devon and Cornwall","Other theft","75366"
"Nottinghamshire","Other theft","75341"
"Merseyside","Other theft","74554"
"Devon and Cornwall","Shoplifting","74518"
"British Transport Police","Theft from the person","74329"
"Avon and Somerset","Theft from vehicle","73928"
"Cleveland","Shoplifting","71962"
"Kent","Theft from vehicle","71033"
"Hampshire","Theft from vehicle","70175"
"Greater Manchester","Theft from the person","67880"
"Greater Manchester","Theft or unauthorised taking of motor vehicle","67681"
"Staffordshire","Shoplifting","67616"
"Cheshire","Shoplifting","67027"
"Leicestershire","Other theft","65642"
"Leicestershire","Theft from vehicle","64487"
"West Yorkshire","Burglary Residential","63900"
"West Midlands","Making off without payment","63853"
"West Mercia","Other theft","63254"
"Leicestershire","Shoplifting","61086"
"Derbyshire","Shoplifting","60602"
"Lancashire","Theft from vehicle","59836"
"South Wales","Theft from vehicle","58685"
"Thames Valley","Theft or unauthorised taking of a pedal cycle","58165"
"Merseyside","Theft from vehicle","57931"
"British Transport Police","Theft or unauthorised taking of a pedal cycle","57596"
"Staffordshire","Other theft","57400"
"Surrey","Other theft","56945"
"Humberside","Other theft","55661"
"Metropolitan Police","Attempted Burglary Residential","55308"
