"forcename","offencedescription","totalviolentoffenses"
"Avon and Somerset","Assault without injury","149543"
"Avon and Somerset","Assault with injury","116612"
"Avon and Somerset","Assault without injury on a constable","8413"
"Avon and Somerset","Threats to kill","8266"
"Avon and Somerset","Cruelty to children/young persons","7437"
"Avon and Somerset","Assault with intent to cause serious harm","6195"
"Avon and Somerset","Racially or religiously aggravated assault without injury","2229"
"Avon and Somerset","Assault with injury on a constable","2058"
"Avon and Somerset","Kidnapping","1280"
"Avon and Somerset","Modern slavery","1160"
"Avon and Somerset","Racially or religiously aggravated assault with injury","961"
"Avon and Somerset","Harassment","903"
"Avon and Somerset","Assaults on emergency workers (other than constables)","375"
"Avon and Somerset","Child abduction","296"
"Avon and Somerset","Attempted murder","272"
"Avon and Somerset","Endangering life","239"
"Avon and Somerset","Racially or religiously aggravated harassment","15"
"Avon and Somerset","Conspiracy to murder","14"
"Avon and Somerset","Causing death by dangerous driving","9"
"Avon and Somerset","Intentional destruction of a viable unborn child","4"
"Avon and Somerset","Causing or allowing death of child or vulnerable person","3"
"Avon and Somerset","Procuring illegal abortion","3"
"Avon and Somerset","Causing death by careless or inconsiderate driving","2"
"Avon and Somerset","Wounding or carrying out an act endangering life (outcomes only)","0"
"Avon and Somerset","Use of substance or object to endanger life (outcomes only)","0"
"Avon and Somerset","Inflicting grievous bodily harm without intent (outcomes only)","0"
"Avon and Somerset","Racially or religiously aggravated inflicting grievous bodily harm without intent (outcomes only)","0"
"Avon and Somerset","Possession of items to endanger life(outcomes only)","0"
"Avon and Somerset","Causing death by careless driving under influence of drink or drugs","0"
"Avon and Somerset","Endangering life at sea (outcomes only)","0"
"Avon and Somerset","Abandoning child under two years (outcomes only)","0"
"Avon and Somerset","Racially or religiously aggravated actual bodily harm and other injury (outcomes only)","0"
"Avon and Somerset","Causing death by driving: unlicensed drivers etc.","0"
"Avon and Somerset","Causing death by aggravated vehicle taking","0"
"Avon and Somerset","Actually bodily harm and other injury(outcomes only)","0"
"Avon and Somerset","Cruelty to and neglect of children (outcomes only)","0"
"Avon and Somerset","Endangering railway passengers (outcomes only)","0"
"Avon and Somerset","Poisoning or female genital mutilation (outcomes only)","0"
"Bedfordshire","Assault without injury","51526"
"Bedfordshire","Assault with injury","45177"
"Bedfordshire","Threats to kill","3683"
"Bedfordshire","Assault without injury on a constable","2620"
"Bedfordshire","Assault with intent to cause serious harm","2518"
"Bedfordshire","Racially or religiously aggravated assault without injury","1019"
"Bedfordshire","Modern slavery","768"
"Bedfordshire","Kidnapping","690"
"Bedfordshire","Assault with injury on a constable","482"
"Bedfordshire","Cruelty to children/young persons","446"
"Bedfordshire","Racially or religiously aggravated assault with injury","427"
"Bedfordshire","Harassment","370"
"Bedfordshire","Attempted murder","153"
"Bedfordshire","Endangering life","84"
"Bedfordshire","Child abduction","75"
"Bedfordshire","Assaults on emergency workers (other than constables)","56"
"Bedfordshire","Racially or religiously aggravated harassment","13"
"Bedfordshire","Conspiracy to murder","7"
"Bedfordshire","Causing or allowing death of child or vulnerable person","6"
"Bedfordshire","Intentional destruction of a viable unborn child","1"
"Bedfordshire","Procuring illegal abortion","1"
"Bedfordshire","Causing death by careless or inconsiderate driving","1"
"Bedfordshire","Causing death by driving: unlicensed drivers etc.","0"
"Bedfordshire","Cruelty to and neglect of children (outcomes only)","0"
"Bedfordshire","Actually bodily harm and other injury(outcomes only)","0"
"Bedfordshire","Racially or religiously aggravated inflicting grievous bodily harm without intent (outcomes only)","0"
"Bedfordshire","Possession of items to endanger life(outcomes only)","0"
"Bedfordshire","Racially or religiously aggravated actual bodily harm and other injury (outcomes only)","0"
"Bedfordshire","Poisoning or female genital mutilation (outcomes only)","0"
"Bedfordshire","Causing death by careless driving under influence of drink or drugs","0"
"Bedfordshire","Inflicting grievous bodily harm without intent (outcomes only)","0"
"Bedfordshire","Endangering life at sea (outcomes only)","0"
"Bedfordshire","Use of substance or object to endanger life (outcomes only)","0"
"Bedfordshire","Causing death by dangerous driving","0"
"Bedfordshire","Endangering railway passengers (outcomes only)","0"
"Bedfordshire","Causing death by aggravated vehicle taking","0"
"Bedfordshire","Wounding or carrying out an act endangering life (outcomes only)","0"
"Bedfordshire","Abandoning child under two years (outcomes only)","0"
"British Transport Police","Assault without injury","61745"
"British Transport Police","Assault with injury","24675"
"British Transport Police","Assault without injury on a constable","5769"
"British Transport Police","Racially or religiously aggravated assault without injury","3083"
"British Transport Police","Endangering life","1499"
"British Transport Police","Assault with injury on a constable","1172"
"British Transport Police","Assault with intent to cause serious harm","1114"
"British Transport Police","Racially or religiously aggravated assault with injury","616"
"British Transport Police","Threats to kill","269"
"British Transport Police","Modern slavery","261"
"British Transport Police","Cruelty to children/young persons","188"
"British Transport Police","Attempted murder","114"
"British Transport Police","Kidnapping","58"
"British Transport Police","Harassment","54"
"British Transport Police","Child abduction","35"
"British Transport Police","Racially or religiously aggravated harassment","2"
"British Transport Police","Conspiracy to murder","2"
"British Transport Police","Intentional destruction of a viable unborn child","2"
"British Transport Police","Causing death by careless or inconsiderate driving","1"
"British Transport Police","Endangering life at sea (outcomes only)","0"
"British Transport Police","Abandoning child under two years (outcomes only)","0"
"British Transport Police","Racially or religiously aggravated actual bodily harm and other injury (outcomes only)","0"
"British Transport Police","Causing death by careless driving under influence of drink or drugs","0"
"British Transport Police","Poisoning or female genital mutilation (outcomes only)","0"
"British Transport Police","Inflicting grievous bodily harm without intent (outcomes only)","0"
